2026-05-01 22:05:23,716 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/register
2026-05-01 22:05:23,729 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/register
2026-05-01 22:05:23,757 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/auth
2026-05-01 22:05:23,770 | HTTP_CLIENT | INFO | Got response 401 UNAUTHORIZED from http://localhost:56733/auth
2026-05-01 22:05:23,771 | BASE_ASSERTIONS | INFO | Check that response status code equals to 401
2026-05-01 22:05:23,771 | AUTH_ASSERTIONS | INFO | Check login with empty/wrong required field
2026-05-01 22:05:23,771 | BASE_ASSERTIONS | INFO | Check that "description" equals to "Invalid credentials"
2026-05-01 22:05:23,771 | BASE_ASSERTIONS | INFO | Check that "error" equals to "Bad Request"
2026-05-01 22:05:23,771 | BASE_ASSERTIONS | INFO | Check that "status_code" equals to "401"
2026-05-01 22:05:23,772 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
