2026-05-01 22:05:25,180 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/register
2026-05-01 22:05:25,250 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/register
2026-05-01 22:05:25,251 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/auth
2026-05-01 22:05:25,255 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/auth
2026-05-01 22:05:25,256 | HTTP_CLIENT | INFO | Make DELETE request to http://localhost:56733/user_info/43
2026-05-01 22:05:25,261 | HTTP_CLIENT | INFO | Got response 404 NOT FOUND from http://localhost:56733/user_info/43
2026-05-01 22:05:25,262 | BASE_ASSERTIONS | INFO | Check that response status code equals to 404
2026-05-01 22:05:25,265 | USER_INFO_ASSERTIONS | INFO | Check update non_existent user info
2026-05-01 22:05:25,265 | BASE_ASSERTIONS | INFO | Check that "message" equals to "User info not found."
2026-05-01 22:05:25,265 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
