2026-05-01 22:05:25,072 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/register
2026-05-01 22:05:25,100 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/register
2026-05-01 22:05:25,102 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/auth
2026-05-01 22:05:25,107 | HTTP_CLIENT | INFO | Got response 200 OK from http://localhost:56733/auth
2026-05-01 22:05:25,109 | HTTP_CLIENT | INFO | Make PUT request to http://localhost:56733/user_info/15000
2026-05-01 22:05:25,115 | HTTP_CLIENT | INFO | Got response 404 NOT FOUND from http://localhost:56733/user_info/15000
2026-05-01 22:05:25,119 | BASE_ASSERTIONS | INFO | Check that response status code equals to 404
2026-05-01 22:05:25,121 | USER_INFO_ASSERTIONS | INFO | Check update non_existent user info
2026-05-01 22:05:25,121 | BASE_ASSERTIONS | INFO | Check that "message" equals to "User info not found."
2026-05-01 22:05:25,122 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
