2026-05-01 22:05:23,560 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/register
2026-05-01 22:05:23,659 | HTTP_CLIENT | INFO | Got response 201 CREATED from http://localhost:56733/register
2026-05-01 22:05:23,684 | HTTP_CLIENT | INFO | Make POST request to http://localhost:56733/auth
2026-05-01 22:05:23,688 | HTTP_CLIENT | INFO | Got response 401 UNAUTHORIZED from http://localhost:56733/auth
2026-05-01 22:05:23,689 | BASE_ASSERTIONS | INFO | Check that response status code equals to 401
2026-05-01 22:05:23,689 | AUTH_ASSERTIONS | INFO | Check login with empty/wrong required field
2026-05-01 22:05:23,689 | BASE_ASSERTIONS | INFO | Check that "description" equals to "Invalid credentials"
2026-05-01 22:05:23,689 | BASE_ASSERTIONS | INFO | Check that "error" equals to "Bad Request"
2026-05-01 22:05:23,689 | BASE_ASSERTIONS | INFO | Check that "status_code" equals to "401"
2026-05-01 22:05:23,691 | SCHEMA_ASSERTIONS | INFO | Validating JSON schema
